link,title,price_sale,price_base,brand,cpu_brand,cpu_detail,cpu_cores,cpu_threads,ram_size,ram_type,storage_size,storage_type,gpu_info,screen_size,screen_res,screen_tech,battery,raw_specs_count
https://cellphones.com.vn/laptop-asus-tuf-gaming-f16-fx607vj-rl034w.html,Laptop ASUS TUF Gaming F16 FX607VJ-RL034W,22.490.000đ,24.490.000đ,ASUS,Intel,,8,12,16,DDR4,512GB,SSD,"NVIDIA GeForce RTX 3050 6GB GDDR6
Intel Iris Xe Graphics",16 inches,1920 x 1200 pixels (WUXGA),"Độ sáng 300nits, Độ phủ màu NTSC 45%, Màn hình chống chói","56WHrs, 4S1P, 4-cell Li-ion",23
https://cellphones.com.vn/laptop-acer-gaming-nitro-v-15-propanel-anv15-41-r7cr.html,Laptop Gaming Acer Nitro V 15 ProPanel ANV15-41-R7CR,25.990.000đ,26.990.000đ,Gaming,AMD,Ryzen 5 7535HS,6,12,16,DDR5,512GB,SSD,"NVIDIA GeForce RTX 4050 6 GB GDDR6 VRAM, hỗ trợ 2560 NVIDIA CUDA Cores",15.6 inches,1920 x 1080 pixels (FullHD),"Độ sáng 300nits, Độ phủ màu sRGB 100%, Màn hình LCD TFT đèn nền LED Acer ComfyView, Góc nhìn rộng","57Whr 4-cell Li-ion Battery, 135W AC Adapter",25
https://cellphones.com.vn/laptop-asus-vivobook-16x-k3605vc-rp431w.html,Laptop ASUS Gaming Vivobook 16X K3605VC-RP431W,19.490.000đ,22.090.000đ,ASUS,Intel,,8,12,16,DDR4,512GB,SSD,"NVIDIA Geforce RTX 3050 4GB GDDR6
Intel UHD Graphics",16 inches,1920 x 1200 pixels (WUXGA),"Độ sáng 300nits, Độ phủ màu 45% NTSC, Màn hình chống chói, TÜV Rheinland-certified","50WHrs, 3S1P, 3-cell Li-ion",28
https://cellphones.com.vn/laptop-hp-14-ep0112tu-8c5l1pa.html,Laptop HP 14-EP0112TU 8C5L1PA,15.490.000đ,19.590.000đ,HP,Intel,Core i5 -,10,12,16,DDR4,512 GB,SSD,Intel Iris Xe Graphics,14 inches,1920 x 1080 pixels (FullHD),"Màn hình chống chói, Độ sáng 250 nits, Độ phủ màu 45% NTSC","3-cell, 41 Wh Li-ion",19
https://cellphones.com.vn/laptop-lenovo-v15-g4-iru-83a100pmvn.html,Laptop Lenovo V15 G4 IRU 83A100PMVN,14.990.000đ,15.990.000đ,Lenovo,Intel,,8,12,16,DDR4,512GB,SSD,Intel UHD Graphics,15.6 inches,1920 x 1080 pixels (FullHD),"Độ sáng 300nits, Màn hình chống chói, Độ phủ màu 45% NTSC","38Wh, 65W Round Tip (3-pin)",25
https://cellphones.com.vn/laptop-lenovo-loq-15iax9e-83lk0079vn.html,Laptop Lenovo LOQ 15IAX9E 83LK0079VN,20.790.000đ,23.990.000đ,Lenovo,Intel,,,,16,DDR5,512GB,SSD,"NVIDIA GeForce RTX 3050 6GB GDDR6, Boost Clock 1432MHz, TGP 65W, 142 AI TOPS",15.6 inches,1920 x 1080 pixels (FullHD),"Độ sáng 300nits, Màn hình chống chói, Độ phủ màu 100% sRGB","57Wh, 135W Slim Tip (3-pin)",28
https://cellphones.com.vn/laptop-acer-aspire-lite-16-gen-2-al16-52p-572a.html,Laptop Acer Aspire Lite 16 Gen 2 AL16-52P-572A,14.090.000đ,14.790.000đ,Acer,Intel,,10,12,16,DDR5,512GB,SSD,Intel Iris Xe Graphics,16 inches,1920 x 1200 pixels (FullHD+),"Độ sáng 300 nits, Độ phủ màu NTSC 45%, ""Acer ComfyView LED-backlit TFT LCD, Góc nhìn rộng lên đến 170 độ",58Whr 3-cell 65W PD Type-C Adapter,28
https://cellphones.com.vn/laptop-asus-tuf-gaming-a15-fa506ncg-hn184w.html,Laptop ASUS TUF Gaming A15 FA506NCG-HN184W,21.290.000đ,22.490.000đ,ASUS,AMD,Ryzen 7 7445HS,6,12,16,DDR5,512GB,SSD,"NVIDIA GeForce RTX 3050 4GB GDDR6 Up to 1675MHz at 60W (75W with Dynamic Boost)
AMD Radeon Graphics",15.6 inches,1920 x 1080 pixels (FullHD),"Độ sáng 250nits, Độ phủ màu NTSC 45% / SRGB 62.5% / Adobe 47.34%, Màn hình chống chói, Adaptive-Sync","48WHrs, 3S1P, 3-cell Li-ion",23
https://cellphones.com.vn/laptop-dell-inspiron-14-5440-d0f3w.html,Laptop Dell Inspiron 14 5440 D0F3W - Nhập khẩu chính hãng,15.990.000đ,18.990.000đ,Dell,Intel,,,12,24,DDR5,1TB,,Intel UMA Graphics,14 inches,1920 x 1080 pixels (FullHD),Độ phủ màu 45% NTSC,3 cell 41 Wh,25
https://cellphones.com.vn/laptop-lenovo-loq-15arp9-83jc00m3vn.html,Laptop Lenovo LOQ 15ARP9 83JC00M3VN,21.690.000đ,29.490.000đ,Lenovo,AMD,Ryzen 5 7235HS,4,8,16,DDR5,1TB,SSD,"NVIDIA GeForce RTX 3050 6GB GDDR6, Boost Clock 1732MHz, TGP 95W",15.6 inches,1920 x 1080 pixels (FullHD),"Độ sáng 300nits, Màn hình chống chói, Độ phủ màu 100% sRGB, G-SYNC","60Wh, 170W Slim Tip (3-pin)",27
