title,price_sale,price_base,brand,cpu_brand,cpu_detail,cpu_cores,cpu_threads,ram_size,storage_size,storage_type,screen_size,raw_specs_count,price_sale_clean,brand_score,cpu_gen,cpu_performance_score,cpu_brand_Intel,cpu_brand_AMD,cpu_brand_Apple,ram_type_DDR3,ram_type_DDR3L,ram_type_DDR4,ram_type_DDR4X,ram_type_DDR4X4266MHZ,ram_type_DDR5,ram_type_DDR5X,ram_type_DDR6,ram_type_RAM_TYPE,gpu_info,screen_res,screen_tech,battery,gpu_brand,gpu_vram,gpu_class,gpu_brand_te,gpu_class_te,screen_brightness_nits,screen_srgb_percent,screen_ntsc_percent,screen_anti_glare,battery_wh,battery_cells,screen_res_cleaned,screen_res_cleaned_1080x1920,screen_res_cleaned_1200x1920,screen_res_cleaned_1366x768,screen_res_cleaned_1440x2560,screen_res_cleaned_1600x2560,screen_res_cleaned_1920x1080,screen_res_cleaned_1920x1200,screen_res_cleaned_1920x1280,screen_res_cleaned_2048x1280,screen_res_cleaned_2160x1350,screen_res_cleaned_2160x1440,screen_res_cleaned_2160x3840,screen_res_cleaned_2240x1400,screen_res_cleaned_2256x1504,screen_res_cleaned_2560x1080,screen_res_cleaned_2560x1440,screen_res_cleaned_2560x1600,screen_res_cleaned_2880x1620,screen_res_cleaned_2880x1800,screen_res_cleaned_2880x1920,screen_res_cleaned_3000x1876,screen_res_cleaned_3000x2000,screen_res_cleaned_3072x1920,screen_res_cleaned_3200x1800,screen_res_cleaned_3200x2000,screen_res_cleaned_3456x2160,screen_res_cleaned_3840x2160,screen_res_cleaned_3840x2400,screen_res_cleaned_720x1280,screen_res_cleaned_N/A,gpu_brand_AMD,gpu_brand_Intel,gpu_brand_NVIDIA,gpu_brand_Other,gpu_brand_Unknown,gpu_class_Discrete,gpu_class_Integrated,gpu_class_Unknown
Laptop ASUS TUF Gaming F16 FX607VJ-RL034W,22490000.0,24490000.0,ASUS,Intel,,8,12,16,512.0,SSD,16.0,23,22490000.0,19.129988593155893,0,40.0,1,0,0,0,0,1,0,0,0,0,0,0,"NVIDIA GeForce RTX 3050 6GB GDDR6
Intel Iris Xe Graphics",1920 x 1200 pixels (WUXGA),"Độ sáng 300nits, Độ phủ màu NTSC 45%, Màn hình chống chói","56WHrs, 4S1P, 4-cell Li-ion",NVIDIA,6,Discrete,21658765.770707622,21341011.81304571,300.0,100.0,45.0,1.0,56.0,3.0,1920x1200,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Laptop Gaming Acer Nitro V 15 ProPanel ANV15-41-R7CR,25990000.0,26990000.0,Gaming,AMD,Ryzen 5 7535HS,6,12,16,512.0,SSD,15.6,25,25990000.0,16.09766355140187,7,122.85,0,1,0,0,0,0,0,0,1,0,0,0,"NVIDIA GeForce RTX 4050 6 GB GDDR6 VRAM, hỗ trợ 2560 NVIDIA CUDA Cores",1920 x 1080 pixels (FullHD),"Độ sáng 300nits, Độ phủ màu sRGB 100%, Màn hình LCD TFT đèn nền LED Acer ComfyView, Góc nhìn rộng","57Whr 4-cell Li-ion Battery, 135W AC Adapter",NVIDIA,6,Discrete,21989757.80409042,21652199.08583037,300.0,100.0,45.0,0.0,57.0,3.0,1920x1080,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Laptop ASUS Gaming Vivobook 16X K3605VC-RP431W,19490000.0,22090000.0,ASUS,Intel,,8,12,16,512.0,SSD,16.0,28,19490000.0,19.129988593155893,0,40.0,1,0,0,0,0,1,0,0,0,0,0,0,"NVIDIA Geforce RTX 3050 4GB GDDR6
Intel UHD Graphics",1920 x 1200 pixels (WUXGA),"Độ sáng 300nits, Độ phủ màu 45% NTSC, Màn hình chống chói, TÜV Rheinland-certified","50WHrs, 3S1P, 3-cell Li-ion",NVIDIA,4,Discrete,21989757.80409042,21652199.08583037,300.0,100.0,45.0,1.0,50.0,3.0,1920x1200,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Laptop HP 14-EP0112TU 8C5L1PA,15490000.0,19590000.0,HP,Intel,Core i5 -,10,12,16,512.0,SSD,14.0,19,15490000.0,14.255501691093574,0,50.0,1,0,0,0,0,1,0,0,0,0,0,0,Intel Iris Xe Graphics,1920 x 1080 pixels (FullHD),"Màn hình chống chói, Độ sáng 250 nits, Độ phủ màu 45% NTSC","3-cell, 41 Wh Li-ion",Intel,0,Integrated,14604040.848389631,14585734.54782043,250.0,100.0,45.0,1.0,41.0,3.0,1920x1080,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Laptop Lenovo V15 G4 IRU 83A100PMVN,14990000.0,15990000.0,Lenovo,Intel,,8,12,16,512.0,SSD,15.6,25,14990000.0,18.146762225969645,0,40.0,1,0,0,0,0,1,0,0,0,0,0,0,Intel UHD Graphics,1920 x 1080 pixels (FullHD),"Độ sáng 300nits, Màn hình chống chói, Độ phủ màu 45% NTSC","38Wh, 65W Round Tip (3-pin)",Intel,0,Integrated,14604040.848389631,14585734.54782043,300.0,100.0,45.0,1.0,38.0,3.0,1920x1080,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Laptop Lenovo LOQ 15IAX9E 83LK0079VN,20790000.0,23990000.0,Lenovo,Intel,,,,16,512.0,SSD,15.6,28,20790000.0,18.146762225969645,0,40.0,1,0,0,0,0,0,0,0,1,0,0,0,"NVIDIA GeForce RTX 3050 6GB GDDR6, Boost Clock 1432MHz, TGP 65W, 142 AI TOPS",1920 x 1080 pixels (FullHD),"Độ sáng 300nits, Màn hình chống chói, Độ phủ màu 100% sRGB","57Wh, 135W Slim Tip (3-pin)",NVIDIA,6,Discrete,21783896.94041868,21386385.66380616,300.0,100.0,45.0,1.0,57.0,3.0,1920x1080,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Laptop Acer Aspire Lite 16 Gen 2 AL16-52P-572A,14090000.0,14790000.0,Acer,Intel,,10,12,16,512.0,SSD,16.0,28,14090000.0,14.483635983263598,0,40.0,1,0,0,0,0,0,0,0,1,0,0,0,Intel Iris Xe Graphics,1920 x 1200 pixels (FullHD+),"Độ sáng 300 nits, Độ phủ màu NTSC 45%, ""Acer ComfyView LED-backlit TFT LCD, Góc nhìn rộng lên đến 170 độ",58Whr 3-cell 65W PD Type-C Adapter,Intel,0,Integrated,14668579.29948839,14561476.466795616,300.0,100.0,45.0,0.0,58.0,3.0,1920x1200,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Laptop ASUS TUF Gaming A15 FA506NCG-HN184W,21290000.0,22490000.0,ASUS,AMD,Ryzen 7 7445HS,6,12,16,512.0,SSD,15.6,23,21290000.0,19.129988593155893,7,122.85,0,1,0,0,0,0,0,0,1,0,0,0,"NVIDIA GeForce RTX 3050 4GB GDDR6 Up to 1675MHz at 60W (75W with Dynamic Boost)
AMD Radeon Graphics",1920 x 1080 pixels (FullHD),"Độ sáng 250nits, Độ phủ màu NTSC 45% / SRGB 62.5% / Adobe 47.34%, Màn hình chống chói, Adaptive-Sync","48WHrs, 3S1P, 3-cell Li-ion",NVIDIA,4,Discrete,21658765.770707622,21341011.81304571,250.0,62.5,45.0,1.0,48.0,3.0,1920x1080,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Laptop Dell Inspiron 14 5440 D0F3W - Nhập khẩu chính hãng,15990000.0,18990000.0,Dell,Intel,,,12,24,1024.0,,14.0,25,15990000.0,15.367008343265791,0,40.0,1,0,0,0,0,0,0,0,1,0,0,0,Intel UMA Graphics,1920 x 1080 pixels (FullHD),Độ phủ màu 45% NTSC,3 cell 41 Wh,Intel,0,Integrated,14665286.283891547,14587476.470588235,300.0,100.0,45.0,0.0,41.0,3.0,1920x1080,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Laptop Lenovo LOQ 15ARP9 83JC00M3VN,21690000.0,29490000.0,Lenovo,AMD,Ryzen 5 7235HS,4,8,16,1024.0,SSD,15.6,27,21690000.0,18.146762225969645,7,122.85,0,1,0,0,0,0,0,0,1,0,0,0,"NVIDIA GeForce RTX 3050 6GB GDDR6, Boost Clock 1732MHz, TGP 95W",1920 x 1080 pixels (FullHD),"Độ sáng 300nits, Màn hình chống chói, Độ phủ màu 100% sRGB, G-SYNC","60Wh, 170W Slim Tip (3-pin)",NVIDIA,6,Discrete,21783896.94041868,21386385.66380616,300.0,100.0,45.0,1.0,60.0,3.0,1920x1080,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
